lat,lon,depth,geometry
45.128906,12.417969,-22.71267,POINT (45.12890625 12.41796875)
45.128906,12.425781,-22.542654,POINT (45.12890625 12.42578125)
45.128906,12.433594,-22.555592,POINT (45.12890625 12.43359375)
45.128906,12.441406,-23.006397,POINT (45.12890625 12.44140625)
45.128906,12.449219,-24.319468,POINT (45.12890625 12.44921875)
45.128906,12.457031,-25.237299,POINT (45.12890625 12.45703125)
45.128906,12.464844,-25.88768,POINT (45.12890625 12.46484375)
45.128906,12.472656,-25.996475,POINT (45.12890625 12.47265625)
45.128906,12.480469,-25.961552,POINT (45.12890625 12.48046875)
45.128906,12.488281,-25.93793,POINT (45.12890625 12.48828125)
45.128906,12.496094,-25.88354,POINT (45.12890625 12.49609375)
45.128906,12.503906,-25.804113,POINT (45.12890625 12.50390625)
45.128906,12.511719,-25.742247,POINT (45.12890625 12.51171875)
45.128906,12.519531,-25.747374,POINT (45.12890625 12.51953125)
45.128906,12.527344,-25.838146,POINT (45.12890625 12.52734375)
45.128906,12.535156,-25.994255,POINT (45.12890625 12.53515625)
45.128906,12.542969,-26.155235,POINT (45.12890625 12.54296875)
45.128906,12.550781,-26.235558,POINT (45.12890625 12.55078125)
45.128906,12.558594,-26.29795,POINT (45.12890625 12.55859375)
45.128906,12.566406,-26.471737,POINT (45.12890625 12.56640625)
45.128906,12.574219,-26.761,POINT (45.12890625 12.57421875)
45.128906,12.582031,-27.068447,POINT (45.12890625 12.58203125)
45.128906,12.589844,-27.342688,POINT (45.12890625 12.58984375)
45.128906,12.597656,-27.582258,POINT (45.12890625 12.59765625)
45.128906,12.605469,-27.760525,POINT (45.12890625 12.60546875)
45.128906,12.613281,-27.865,POINT (45.12890625 12.61328125)
45.128906,12.621094,-27.94648,POINT (45.12890625 12.62109375)
45.128906,12.628906,-28.119596,POINT (45.12890625 12.62890625)
45.128906,12.636719,-28.36409,POINT (45.12890625 12.63671875)
45.128906,12.644531,-28.608414,POINT (45.12890625 12.64453125)
45.128906,12.652344,-28.800753,POINT (45.12890625 12.65234375)
45.128906,12.660156,-28.90404,POINT (45.12890625 12.66015625)
45.128906,12.667969,-28.972338,POINT (45.12890625 12.66796875)
45.128906,12.675781,-29.04816,POINT (45.12890625 12.67578125)
45.128906,12.683594,-29.107824,POINT (45.12890625 12.68359375)
45.128906,12.691406,-29.159527,POINT (45.12890625 12.69140625)
45.13672,12.222656,0.0,POINT (45.13671875 12.22265625)
45.13672,12.230469,0.0,POINT (45.13671875 12.23046875)
45.13672,12.238281,0.0,POINT (45.13671875 12.23828125)
45.13672,12.246094,0.0,POINT (45.13671875 12.24609375)
45.13672,12.253906,0.0,POINT (45.13671875 12.25390625)
45.13672,12.261719,0.0,POINT (45.13671875 12.26171875)
45.13672,12.269531,0.0,POINT (45.13671875 12.26953125)
45.13672,12.277344,0.0,POINT (45.13671875 12.27734375)
45.13672,12.285156,0.0,POINT (45.13671875 12.28515625)
45.13672,12.292969,0.0,POINT (45.13671875 12.29296875)
45.13672,12.300781,0.0,POINT (45.13671875 12.30078125)
45.13672,12.308594,0.0,POINT (45.13671875 12.30859375)
45.13672,12.316406,0.0,POINT (45.13671875 12.31640625)
45.13672,12.324219,0.0,POINT (45.13671875 12.32421875)
