lat,lon,depth,geometry
45.121094,12.127951,0.0,POINT (45.12109375 12.127950668334961)
45.121094,12.135763,0.0,POINT (45.12109375 12.135763168334961)
45.121094,12.143576,0.0,POINT (45.12109375 12.143575668334961)
45.121094,12.151388,0.0,POINT (45.12109375 12.151388168334961)
45.121094,12.159201,0.0,POINT (45.12109375 12.159200668334961)
45.121094,12.167013,0.0,POINT (45.12109375 12.167013168334961)
45.121094,12.174826,0.0,POINT (45.12109375 12.174825668334961)
45.121094,12.182638,0.0,POINT (45.12109375 12.182638168334961)
45.121094,12.190451,0.0,POINT (45.12109375 12.190450668334961)
45.121094,12.198263,0.0,POINT (45.12109375 12.198263168334961)
45.121094,12.206076,0.0,POINT (45.12109375 12.206075668334961)
45.121094,12.213888,0.0,POINT (45.12109375 12.213888168334961)
45.121094,12.221701,0.0,POINT (45.12109375 12.221700668334961)
45.121094,12.229513,0.0,POINT (45.12109375 12.229513168334961)
45.121094,12.237326,0.0,POINT (45.12109375 12.237325668334961)
45.121094,12.245138,0.0,POINT (45.12109375 12.245138168334961)
45.121094,12.252951,0.0,POINT (45.12109375 12.252950668334961)
45.121094,12.260763,0.0,POINT (45.12109375 12.260763168334961)
45.121094,12.268576,0.0,POINT (45.12109375 12.268575668334961)
45.121094,12.276388,0.0,POINT (45.12109375 12.276388168334961)
45.121094,12.284201,0.0,POINT (45.12109375 12.284200668334961)
45.121094,12.292013,0.0,POINT (45.12109375 12.292013168334961)
45.121094,12.299826,0.0,POINT (45.12109375 12.299825668334961)
45.121094,12.307638,0.0,POINT (45.12109375 12.307638168334961)
45.121094,12.315451,0.0,POINT (45.12109375 12.315450668334961)
45.121094,12.323263,0.0,POINT (45.12109375 12.323263168334961)
45.121094,12.331076,-1.6248807,POINT (45.12109375 12.331075668334961)
45.121094,12.338888,-5.955824,POINT (45.12109375 12.338888168334961)
45.121094,12.346701,-9.830063,POINT (45.12109375 12.346700668334961)
45.121094,12.354513,-12.048661,POINT (45.12109375 12.354513168334961)
45.121094,12.362326,-12.95604,POINT (45.12109375 12.362325668334961)
45.121094,12.370138,-13.838556,POINT (45.12109375 12.370138168334961)
45.121094,12.377951,-16.086908,POINT (45.12109375 12.377950668334961)
45.121094,12.385763,-18.546562,POINT (45.12109375 12.385763168334961)
45.121094,12.393576,-20.341625,POINT (45.12109375 12.393575668334961)
45.121094,12.401388,-21.322336,POINT (45.12109375 12.401388168334961)
45.121094,12.409201,-21.831852,POINT (45.12109375 12.409200668334961)
45.121094,12.417013,-22.094643,POINT (45.12109375 12.417013168334961)
45.121094,12.424826,-22.238955,POINT (45.12109375 12.424825668334961)
45.121094,12.432638,-22.500313,POINT (45.12109375 12.432638168334961)
45.121094,12.440451,-23.307114,POINT (45.12109375 12.440450668334961)
45.121094,12.448263,-24.764164,POINT (45.12109375 12.448263168334961)
45.121094,12.456076,-25.598732,POINT (45.12109375 12.456075668334961)
45.121094,12.463888,-25.934057,POINT (45.12109375 12.463888168334961)
45.121094,12.471701,-26.019775,POINT (45.12109375 12.471700668334961)
45.121094,12.479513,-26.001017,POINT (45.12109375 12.479513168334961)
45.121094,12.487326,-25.972744,POINT (45.12109375 12.487325668334961)
45.121094,12.495138,-25.929764,POINT (45.12109375 12.495138168334961)
45.121094,12.502951,-25.881124,POINT (45.12109375 12.502950668334961)
45.121094,12.510763,-25.8555,POINT (45.12109375 12.510763168334961)
45.121094,12.518576,-25.889431,POINT (45.12109375 12.518575668334961)
45.121094,12.526388,-25.998602,POINT (45.12109375 12.526388168334961)
45.121094,12.534201,-26.163137,POINT (45.12109375 12.534200668334961)
45.121094,12.542013,-26.32799,POINT (45.12109375 12.542013168334961)
45.121094,12.549826,-26.462301,POINT (45.12109375 12.549825668334961)
45.121094,12.557638,-26.586441,POINT (45.12109375 12.557638168334961)
45.121094,12.565451,-26.770203,POINT (45.12109375 12.565450668334961)
45.121094,12.573263,-27.031141,POINT (45.12109375 12.573263168334961)
45.121094,12.581076,-27.297846,POINT (45.12109375 12.581075668334961)
45.121094,12.588888,-27.536901,POINT (45.12109375 12.588888168334961)
45.121094,12.596701,-27.7324,POINT (45.12109375 12.596700668334961)
45.128906,12.127951,0.0,POINT (45.12890625 12.127950668334961)
45.128906,12.135763,0.0,POINT (45.12890625 12.135763168334961)
45.128906,12.143576,0.0,POINT (45.12890625 12.143575668334961)
45.128906,12.151388,0.0,POINT (45.12890625 12.151388168334961)
45.128906,12.159201,0.0,POINT (45.12890625 12.159200668334961)
45.128906,12.167013,0.0,POINT (45.12890625 12.167013168334961)
45.128906,12.174826,0.0,POINT (45.12890625 12.174825668334961)
45.128906,12.182638,0.0,POINT (45.12890625 12.182638168334961)
45.128906,12.190451,0.0,POINT (45.12890625 12.190450668334961)
45.128906,12.198263,0.0,POINT (45.12890625 12.198263168334961)
45.128906,12.206076,0.0,POINT (45.12890625 12.206075668334961)
45.128906,12.213888,0.0,POINT (45.12890625 12.213888168334961)
45.128906,12.221701,0.0,POINT (45.12890625 12.221700668334961)
45.128906,12.229513,0.0,POINT (45.12890625 12.229513168334961)
45.128906,12.237326,0.0,POINT (45.12890625 12.237325668334961)
45.128906,12.245138,0.0,POINT (45.12890625 12.245138168334961)
45.128906,12.252951,0.0,POINT (45.12890625 12.252950668334961)
45.128906,12.260763,0.0,POINT (45.12890625 12.260763168334961)
45.128906,12.268576,0.0,POINT (45.12890625 12.268575668334961)
45.128906,12.276388,0.0,POINT (45.12890625 12.276388168334961)
45.128906,12.284201,0.0,POINT (45.12890625 12.284200668334961)
