lat,lon,depth,geometry
45.1625,12.375,-19.5066,POINT (45.162498474121094 12.375)
45.1625,12.3792,-20.3435,POINT (45.162498474121094 12.379199981689453)
45.1625,12.3833,-20.854,POINT (45.162498474121094 12.383299827575684)
45.1625,12.3875,-21.225,POINT (45.162498474121094 12.387499809265137)
45.1625,12.3917,-21.5528,POINT (45.162498474121094 12.39169979095459)
45.1625,12.3958,-21.9052,POINT (45.162498474121094 12.39579963684082)
45.1625,12.4,-22.3429,POINT (45.162498474121094 12.399999618530273)
45.1625,12.4042,-22.8239,POINT (45.162498474121094 12.404199600219727)
45.1625,12.4083,-23.2491,POINT (45.162498474121094 12.408300399780273)
45.1625,12.4125,-23.6523,POINT (45.162498474121094 12.412500381469727)
45.1625,12.4167,-24.0344,POINT (45.162498474121094 12.41670036315918)
45.1625,12.4208,-24.3564,POINT (45.162498474121094 12.42080020904541)
45.1625,12.425,-24.5983,POINT (45.162498474121094 12.425000190734863)
45.1625,12.4292,-24.7588,POINT (45.162498474121094 12.429200172424316)
45.1625,12.4333,-24.8441,POINT (45.162498474121094 12.433300018310547)
45.1625,12.4375,-24.8545,POINT (45.162498474121094 12.4375)
45.1625,12.4417,-24.7789,POINT (45.162498474121094 12.441699981689453)
45.1625,12.4458,-24.5988,POINT (45.162498474121094 12.445799827575684)
45.1625,12.45,-24.3133,POINT (45.162498474121094 12.449999809265137)
45.1625,12.4542,-23.9448,POINT (45.162498474121094 12.45419979095459)
45.1625,12.4583,-23.4978,POINT (45.162498474121094 12.45829963684082)
45.1625,12.4625,-23.0563,POINT (45.162498474121094 12.462499618530273)
45.1625,12.4667,-22.9653,POINT (45.162498474121094 12.466699600219727)
45.1625,12.4708,-23.2437,POINT (45.162498474121094 12.470800399780273)
45.1625,12.475,-23.7114,POINT (45.162498474121094 12.475000381469727)
45.1625,12.4792,-24.0934,POINT (45.162498474121094 12.47920036315918)
45.1625,12.4833,-24.4626,POINT (45.162498474121094 12.48330020904541)
45.1625,12.4875,-24.7854,POINT (45.162498474121094 12.487500190734863)
45.1625,12.4917,-25.0074,POINT (45.162498474121094 12.491700172424316)
45.1625,12.4958,-25.3602,POINT (45.162498474121094 12.495800018310547)
45.1625,12.5,-25.4423,POINT (45.162498474121094 12.5)
45.1625,12.5042,-25.2438,POINT (45.162498474121094 12.504199981689453)
45.1625,12.5083,-25.0671,POINT (45.162498474121094 12.508299827575684)
45.1625,12.5125,-24.9193,POINT (45.162498474121094 12.512499809265137)
45.1625,12.5167,-24.89,POINT (45.162498474121094 12.51669979095459)
45.1625,12.5208,-24.9023,POINT (45.162498474121094 12.52079963684082)
45.1625,12.525,-24.9107,POINT (45.162498474121094 12.524999618530273)
45.1625,12.5292,-24.8958,POINT (45.162498474121094 12.529199600219727)
45.1625,12.5333,-24.8652,POINT (45.162498474121094 12.533300399780273)
45.1625,12.5375,-24.8356,POINT (45.162498474121094 12.537500381469727)
45.1625,12.5417,-24.8222,POINT (45.162498474121094 12.54170036315918)
45.1625,12.5458,-24.828,POINT (45.162498474121094 12.54580020904541)
45.1625,12.55,-24.8253,POINT (45.162498474121094 12.550000190734863)
45.1625,12.5542,-24.8156,POINT (45.162498474121094 12.554200172424316)
45.1625,12.5583,-24.8051,POINT (45.162498474121094 12.558300018310547)
45.1625,12.5625,-24.8073,POINT (45.162498474121094 12.5625)
45.1625,12.5667,-24.8205,POINT (45.162498474121094 12.566699981689453)
45.1625,12.5708,-24.8397,POINT (45.162498474121094 12.570799827575684)
45.1625,12.575,-24.8662,POINT (45.162498474121094 12.574999809265137)
45.1625,12.5792,-24.8927,POINT (45.162498474121094 12.57919979095459)
45.1667,12.1208,-0.0,POINT (45.16669845581055 12.120800018310547)
45.1667,12.125,-0.0,POINT (45.16669845581055 12.125)
45.1667,12.1292,-0.0,POINT (45.16669845581055 12.129199981689453)
45.1667,12.1333,-0.0,POINT (45.16669845581055 12.133299827575684)
45.1667,12.1375,-0.0,POINT (45.16669845581055 12.137499809265137)
45.1667,12.1417,-0.0,POINT (45.16669845581055 12.14169979095459)
45.1667,12.1458,-0.0,POINT (45.16669845581055 12.14579963684082)
45.1667,12.15,-0.0,POINT (45.16669845581055 12.149999618530273)
45.1667,12.1542,-0.0,POINT (45.16669845581055 12.154199600219727)
45.1667,12.1583,-0.0,POINT (45.16669845581055 12.158300399780273)
45.1667,12.1625,-0.0,POINT (45.16669845581055 12.162500381469727)
45.1667,12.1667,-0.0,POINT (45.16669845581055 12.16670036315918)
45.1667,12.1708,-0.0,POINT (45.16669845581055 12.17080020904541)
45.1667,12.175,-0.0,POINT (45.16669845581055 12.175000190734863)
45.1667,12.1792,-0.0,POINT (45.16669845581055 12.179200172424316)
45.1667,12.1833,-0.0,POINT (45.16669845581055 12.183300018310547)
45.1667,12.1875,-0.0,POINT (45.16669845581055 12.1875)
45.1667,12.1917,-0.0,POINT (45.16669845581055 12.191699981689453)
45.1667,12.1958,-0.0,POINT (45.16669845581055 12.195799827575684)
45.1667,12.2,-0.0,POINT (45.16669845581055 12.199999809265137)
45.1667,12.2042,-0.0,POINT (45.16669845581055 12.20419979095459)
45.1667,12.2083,-0.0,POINT (45.16669845581055 12.20829963684082)
45.1667,12.2125,-0.0,POINT (45.16669845581055 12.212499618530273)
45.1667,12.2167,-0.0,POINT (45.16669845581055 12.216699600219727)
45.1667,12.2208,-0.0,POINT (45.16669845581055 12.220800399780273)
45.1667,12.225,-0.0,POINT (45.16669845581055 12.225000381469727)
45.1667,12.2292,-0.0,POINT (45.16669845581055 12.22920036315918)
