lat,lon,depth
45.14453,12.402344,-23.220188
45.14453,12.410156,-23.893772
45.14453,12.417969,-24.343742
45.14453,12.425781,-24.423908
45.14453,12.433594,-24.043844
45.14453,12.441406,-22.901428
45.14453,12.449219,-21.937603
45.14453,12.457031,-22.258303
45.14453,12.464844,-23.972918
45.14453,12.472656,-25.124763
45.14453,12.480469,-25.940826
45.14453,12.488281,-26.003214
45.14453,12.496094,-25.892994
45.14453,12.503906,-25.61799
45.14453,12.511719,-25.333874
45.14453,12.519531,-25.218544
45.14453,12.527344,-25.26754
45.14453,12.535156,-25.378313
45.14453,12.542969,-25.481398
45.14453,12.550781,-25.557652
45.14453,12.558594,-25.62163
45.14453,12.566406,-25.79204
45.14453,12.574219,-26.097057
45.14453,12.582031,-26.403193
45.14453,12.589844,-26.686556
45.14453,12.597656,-27.05693
45.14453,12.605469,-27.452494
45.14453,12.613281,-27.630283
45.14453,12.621094,-27.619831
45.14453,12.628906,-27.662643
45.14453,12.636719,-27.763647
45.14453,12.644531,-27.851118
45.14453,12.652344,-27.94419
45.14453,12.660156,-28.091064
45.14453,12.667969,-28.259691
45.14453,12.675781,-28.414225
45.14453,12.683594,-28.537415
45.14453,12.691406,-28.62542
45.152344,12.222656,0.0
45.152344,12.230469,0.0
45.152344,12.238281,0.0
45.152344,12.246094,0.0
45.152344,12.253906,0.0
45.152344,12.261719,0.0
45.152344,12.269531,0.0
45.152344,12.277344,0.0
45.152344,12.285156,0.0
45.152344,12.292969,0.0
45.152344,12.300781,0.0
45.152344,12.308594,0.0
45.152344,12.316406,0.0
45.152344,12.324219,0.0
45.152344,12.332031,0.0
45.152344,12.339844,-1.6041867
45.152344,12.347656,-6.2613134
45.152344,12.355469,-11.193123
45.152344,12.363281,-15.065933
45.152344,12.371094,-18.19934
45.152344,12.378906,-20.267298
45.152344,12.386719,-21.30232
45.152344,12.394531,-22.092295
45.152344,12.402344,-23.048864
45.152344,12.410156,-23.83899
45.152344,12.417969,-24.376427
45.152344,12.425781,-24.673058
45.152344,12.433594,-24.672344
45.152344,12.441406,-24.19119
45.152344,12.449219,-22.914743
45.152344,12.457031,-22.276655
45.152344,12.464844,-22.852448
45.152344,12.472656,-24.156794
45.152344,12.480469,-25.123552
45.152344,12.488281,-25.904732
45.152344,12.496094,-25.99215
45.152344,12.503906,-25.489557
45.152344,12.511719,-25.048437
45.152344,12.519531,-24.934559
45.152344,12.527344,-25.006832
45.152344,12.535156,-25.073362
45.152344,12.542969,-25.125355
45.152344,12.550781,-25.21259
45.152344,12.558594,-25.256504
45.152344,12.566406,-25.35688
45.152344,12.574219,-25.542849
45.152344,12.582031,-25.754852
45.152344,12.589844,-25.895506
45.152344,12.597656,-26.091211
45.152344,12.605469,-26.448183
45.152344,12.613281,-26.89883
45.152344,12.621094,-27.036345
45.152344,12.628906,-27.23176
45.152344,12.636719,-27.466133
45.152344,12.644531,-27.611454
45.152344,12.652344,-27.72951
45.152344,12.660156,-27.845984
45.152344,12.667969,-27.979176
45.152344,12.675781,-28.124228
45.152344,12.683594,-28.249058
45.152344,12.691406,-28.335316
45.160156,12.222656,0.0
45.160156,12.230469,0.0
45.160156,12.238281,0.0
45.160156,12.246094,0.0
45.160156,12.253906,0.0
45.160156,12.261719,0.0
